t	xA	yA	xB	yB	xC	yC
0.972211	-2.034150	0.710144	-1.843739	1.258044	-0.368374	1.757697
0.976590	-2.034241	0.710651	-1.839446	1.257299	-0.364233	1.756347
0.980969	-2.033644	0.710653	-1.831400	1.256410	-0.349522	1.744410
0.985349	-2.034096	0.710919	-1.827460	1.254848	-0.344058	1.742693
0.989728	-2.033902	0.710435	-1.823861	1.252886	-0.337844	1.738788
0.994107	-2.034040	0.710383	-1.820635	1.251109	-0.330768	1.737092
0.998487	-2.033776	0.710015	-1.817116	1.249898	-0.329910	1.732414
1.002866	-2.034138	0.711061	-1.812869	1.249355	-0.319559	1.727356
1.007245	-2.033523	0.709639	-1.805398	1.245911	-0.310921	1.719429
1.011625	-2.033961	0.710736	-1.799307	1.243268	-0.304035	1.717923
1.016004	-2.033765	0.710442	-1.793023	1.241520	-0.294663	1.708096
1.020383	-2.034057	0.710702	-1.785364	1.238129	-0.283884	1.701033
1.024763	-2.032593	0.711396	-1.775005	1.234939	-0.269580	1.691336
1.029142	-2.033511	0.709991	-1.768418	1.232472	-0.263432	1.684691
1.033521	-2.032853	0.711084	-1.760538	1.228809	-0.250709	1.677034
1.037901	-2.032420	0.711568	-1.740284	1.220081	-0.226964	1.660608
1.042280	-2.031808	0.709739	-1.735044	1.216875	-0.222136	1.658546
1.046659	-2.032360	0.709100	-1.732654	1.214548	-0.216691	1.656281
1.051039	-2.031186	0.706857	-1.728435	1.210591	-0.216292	1.652090
1.055418	-2.031914	0.706360	-1.726300	1.209580	-0.207675	1.646746
1.059797	-2.032175	0.706025	-1.723463	1.208822	-0.205920	1.645823
1.064177	-2.031959	0.705828	-1.720865	1.208413	-0.204645	1.645010
1.068556	-2.031237	0.705538	-1.720578	1.209095	-0.205134	1.643974
1.072935	-2.031582	0.705373	-1.721248	1.208805	-0.205234	1.643632
1.077315	-2.030565	0.704908	-1.721250	1.208940	-0.206001	1.643327
1.081694	-2.033071	0.704908	-1.722424	1.208979	-0.207174	1.643691
1.086073	-2.032259	0.704685	-1.722671	1.209204	-0.207210	1.643121
1.090453	-2.032314	0.704834	-1.722977	1.209760	-0.208197	1.643766
1.094832	-2.032133	0.704887	-1.723506	1.210474	-0.210453	1.645587
1.099211	-2.032445	0.704930	-1.724230	1.210443	-0.211520	1.646460
1.103591	-2.031597	0.704476	-1.725423	1.211027	-0.213463	1.645989
1.107970	-2.030872	0.704682	-1.729200	1.212684	-0.213579	1.647527
1.112349	-2.030968	0.704926	-1.731493	1.213355	-0.218330	1.650898
1.116729	-2.032160	0.704982	-1.733471	1.213550	-0.219408	1.652454
1.121108	-2.032087	0.704681	-1.733786	1.213191	-0.220309	1.652259
1.125487	-2.032903	0.705430	-1.734394	1.214040	-0.222729	1.653549
1.129867	-2.032425	0.705484	-1.734629	1.214519	-0.224563	1.654431
1.134246	-2.033549	0.705810	-1.735858	1.214788	-0.226569	1.654692
1.138625	-2.033250	0.705853	-1.737817	1.217645	-0.226622	1.654438
1.143005	-2.031645	0.707802	-1.738204	1.220197	-0.226181	1.654391
1.147384	-2.030753	0.712249	-1.738517	1.222492	-0.226320	1.654435
1.151763	-2.028038	0.721661	-1.737743	1.231583	-0.225288	1.654346
1.156143	-2.026372	0.731018	-1.737992	1.243463	-0.225380	1.653049
1.160522	-2.002100	0.804012	-1.722748	1.316061	-0.217123	1.649873
1.164901	-1.986729	0.846896	-1.715685	1.357889	-0.213969	1.646781
1.169281	-1.963757	0.898472	-1.704656	1.404239	-0.211111	1.647899
1.173660	-1.938134	0.947484	-1.689271	1.466322	-0.209444	1.645835
1.178039	-2.096967	1.190057	-1.672596	1.523668	-0.209177	1.645045
1.182418	-1.864807	1.061898	-1.648659	1.594045	-0.208135	1.644517
1.186798	-2.152089	1.185316	-1.625296	1.654263	-0.207840	1.644835
1.191177	-2.167996	1.169852	-1.593774	1.718027	-0.207590	1.644870
1.195556	-2.196862	1.168865	-1.562197	1.774925	-0.206627	1.644645
1.199936	-2.213001	1.157351	-1.535658	1.816911	-0.207742	1.644936
1.204315	-2.227840	1.172811	-1.506867	1.863046	-0.207412	1.645941
1.208694	-1.616584	1.176869	-1.482291	1.895513	-0.207389	1.646122
