t,xA,yA,xB,yB,xC,yC
0.513248,-1.079502,1.501072,-0.832831,2.396335,0.454868,1.723973
0.517635,-1.080046,1.499712,-0.833089,2.395478,0.453250,1.722636
0.522021,-1.079552,1.500504,-0.832815,2.395897,0.453932,1.723076
0.526408,-1.079637,1.500373,-0.832695,2.395909,0.453640,1.722875
0.530795,-1.079139,1.500801,-0.832488,2.395895,0.454308,1.723281
0.535182,-1.080351,1.500132,-0.833285,2.395890,0.453403,1.722990
0.539568,-1.079678,1.499964,-0.833047,2.394853,0.453094,1.722269
0.543955,-1.080135,1.500371,-0.832956,2.395997,0.454023,1.723331
0.548342,-1.079524,1.501461,-0.833040,2.396372,0.454739,1.723892
0.552729,-1.079984,1.500563,-0.833307,2.395973,0.453869,1.723224
0.557115,-1.080200,1.499857,-0.833615,2.395398,0.453075,1.722579
0.561502,-1.079598,1.501144,-0.832865,2.396266,0.454929,1.723907
0.565889,-1.078574,1.501476,-0.832098,2.396003,0.455296,1.723781
0.570276,-1.080238,1.499918,-0.833755,2.395505,0.452796,1.722569
0.574662,-1.080064,1.499949,-0.833712,2.395305,0.452823,1.722369
0.579049,-1.079681,1.499908,-0.833387,2.395503,0.453272,1.722489
0.583436,-1.080334,1.499915,-0.834350,2.395626,0.453166,1.723026
0.587822,-1.080390,1.500448,-0.835049,2.396454,0.454941,1.724723
0.592209,-1.082477,1.498482,-0.838020,2.395690,0.455157,1.724782
0.596596,-1.083250,1.497349,-0.842057,2.395304,0.454919,1.724720
0.600983,-1.087259,1.499424,-0.848896,2.394004,0.454247,1.724207
0.605369,-1.091921,1.493115,-0.856464,2.392588,0.457799,1.726292
0.609756,-1.102240,1.489707,-0.867271,2.388897,0.446171,1.731577
0.614143,-1.110352,1.488009,-0.876871,2.381833,0.443492,1.731554
0.618530,-1.121112,1.482182,-0.888513,2.374692,0.441636,1.731802
0.622916,-1.135104,1.479733,-0.905862,2.365969,0.432905,1.739451
0.627303,-1.150118,1.470498,-0.920079,2.356136,0.433742,1.743031
0.631690,-1.167585,1.463755,-0.939094,2.343219,0.422149,1.748700
0.636077,-1.184802,1.456586,-0.960466,2.330884,0.423111,1.752718
0.640463,-1.204234,1.448601,-0.984224,2.318511,0.402227,1.768045
0.644850,-1.216573,1.436274,-1.010669,2.307962,0.402276,1.771410
0.649237,-1.229284,1.428252,-1.025449,2.300293,0.381770,1.786825
0.653624,-1.235405,1.424472,-1.036875,2.296019,0.369171,1.798068
0.658010,-1.243891,1.422198,-1.052057,2.295377,0.368296,1.802558
0.662397,-1.247048,1.419074,-1.067526,2.296025,0.357044,1.811017
0.666784,-1.250029,1.418220,-1.081200,2.295433,0.345277,1.819004
0.671170,-1.276072,1.395116,-1.128580,2.282764,0.321150,1.839527
0.675557,-1.283197,1.393487,-1.139417,2.278519,0.310538,1.845793
0.679944,-1.292056,1.390126,-1.151641,2.274380,0.308358,1.847651
0.684331,-1.301868,1.382245,-1.168360,2.267349,0.305434,1.848901
0.688717,-1.313468,1.373781,-1.188168,2.254732,0.307714,1.850612
0.693104,-1.330573,1.362145,-1.207044,2.238070,0.294449,1.857301
0.697491,-1.347207,1.347110,-1.226396,2.216581,0.293799,1.859153
0.701878,-1.365328,1.329517,-1.243620,2.191365,0.292126,1.859303
0.706264,-1.387109,1.310981,-1.266713,2.164584,0.291268,1.859787
0.710651,-1.407244,1.288921,-1.286201,2.134507,0.290759,1.859375
0.715038,-1.427323,1.262948,-1.306329,2.101459,0.290104,1.858891
0.719425,-1.452398,1.238974,-1.335293,2.066760,0.287140,1.858217
0.723811,-1.475010,1.211712,-1.361584,2.033759,0.285976,1.859391
0.728198,-1.499251,1.182039,-1.382339,2.000091,0.274988,1.866476
0.732585,-1.522172,1.155042,-1.407465,1.961796,0.270427,1.866795
0.736971,-1.548000,1.121873,-1.428228,1.919750,0.266168,1.867551
0.741358,-1.569862,1.092587,-1.452127,1.880166,0.265007,1.871531
0.745745,-1.587489,1.059247,-1.476997,1.837062,0.250301,1.873825
0.750132,-1.606832,1.028318,-1.494419,1.797820,0.246949,1.874490
0.754518,-1.625708,0.996444,-1.510392,1.757143,0.244443,1.877998
0.758905,-1.635542,0.963867,-1.527021,1.717115,0.242026,1.878947
0.763292,-1.651469,0.929268,-1.542097,1.679633,0.240972,1.879419
0.767679,-1.670607,0.897919,-1.553192,1.634660,0.239972,1.877878
0.772065,-1.822204,0.795143,-1.557822,1.588653,0.238404,1.876387
0.776452,-1.831389,0.758462,-1.568477,1.543005,0.239265,1.876895
0.780839,-1.839357,0.716322,-1.574215,1.496438,0.241873,1.877883
0.785226,-1.847756,0.674992,-1.589450,1.446982,0.239857,1.876319
0.789612,-1.858722,0.632890,-1.597452,1.395963,0.238150,1.875312
0.793999,-1.866493,0.604596,-1.604998,1.357617,0.237732,1.874696
0.798386,-1.863850,0.608300,-1.606963,1.365169,0.238908,1.875940
0.802772,-1.863085,0.619201,-1.609904,1.374574,0.237389,1.875949
0.807159,-1.864734,0.621435,-1.610827,1.376460,0.233316,1.878410
0.811546,-1.863023,0.619706,-1.610144,1.376502,0.231131,1.879018
0.815933,-1.862907,0.612220,-1.615596,1.369431,0.230923,1.879743
0.820319,-1.862852,0.610967,-1.616899,1.367070,0.229674,1.878620
0.824706,-1.863132,0.611318,-1.619468,1.369572,0.216708,1.887660
0.829093,-1.862808,0.611402,-1.621467,1.369330,0.213308,1.887067
0.833480,-1.861963,0.611636,-1.622616,1.370176,0.214287,1.888527
0.837866,-1.863476,0.611025,-1.625976,1.369511,0.209103,1.887257
0.842253,-1.863041,0.610474,-1.631207,1.369327,0.207585,1.890401
0.846640,-1.862868,0.611016,-1.633549,1.371261,0.206853,1.890929
0.851027,-1.862931,0.611427,-1.636562,1.372285,0.195266,1.894961
0.855413,-1.862624,0.610900,-1.639057,1.372745,0.193382,1.895823
0.859800,-1.862372,0.610695,-1.642260,1.372996,0.191747,1.896697
0.864187,-1.862604,0.610926,-1.646136,1.374241,0.190769,1.897239
0.868574,-1.862085,0.610878,-1.648529,1.376107,0.189644,1.897698
0.872960,-1.861924,0.610760,-1.650813,1.377655,0.190514,1.897727
0.877347,-1.862013,0.611426,-1.653173,1.379370,0.190826,1.897780
0.881734,-1.862570,0.610773,-1.654578,1.378914,0.188630,1.895807
0.886120,-1.862885,0.610637,-1.656002,1.379778,0.189000,1.895762
0.890507,-1.863187,0.610660,-1.656864,1.379996,0.189417,1.895581
0.894894,-1.863372,0.610559,-1.657465,1.380082,0.189424,1.895314
0.899281,-1.863821,0.611140,-1.658069,1.380893,0.189598,1.895525
0.903667,-1.863008,0.610620,-1.656728,1.380222,0.190564,1.895400
0.908054,-1.863474,0.610838,-1.657370,1.380255,0.190014,1.894888
0.912441,-1.863097,0.610185,-1.657174,1.379901,0.189049,1.894146
0.916828,-1.862910,0.611517,-1.657212,1.381272,0.191568,1.895673
0.921214,-1.862501,0.610435,-1.656211,1.380151,0.191432,1.895088
0.925601,-1.862877,0.611068,-1.657554,1.380529,0.190972,1.894963
0.929988,-1.862301,0.610665,-1.655694,1.380384,0.192185,1.895443
0.934375,-1.862224,0.611457,-1.656368,1.381066,0.192793,1.895787
0.938761,-1.861875,0.610274,-1.655629,1.379745,0.191517,1.894721
0.943148,-1.862215,0.610904,-1.656392,1.380869,0.192325,1.895640
0.947535,-1.861791,0.611066,-1.656013,1.381111,0.193084,1.896251
0.951921,-1.861309,0.610832,-1.655756,1.380196,0.192617,1.895863
0.956308,-1.861118,0.610689,-1.655727,1.380361,0.192503,1.895623
0.960695,-1.861179,0.611041,-1.655977,1.380470,0.192202,1.895754
0.965082,-1.860459,0.611107,-1.655756,1.381168,0.193289,1.896634
0.969468,-1.861288,0.610504,-1.655957,1.380062,0.191858,1.895175
0.973855,-1.860802,0.611088,-1.655814,1.380681,0.192979,1.896044
0.978242,-1.860784,0.612105,-1.655634,1.381555,0.193873,1.897124
0.982629,-1.861029,0.610815,-1.655451,1.380306,0.192598,1.895945
0.987015,-1.861604,0.611081,-1.655885,1.380348,0.192292,1.896134
0.991402,-1.861312,0.610910,-1.655865,1.380400,0.192455,1.896287
0.995789,-1.861594,0.611062,-1.656164,1.380588,0.192408,1.896461
1.000176,-1.861261,0.610797,-1.655687,1.380413,0.192576,1.896707
1.004562,-1.861687,0.611295,-1.656589,1.380919,0.192440,1.897316
1.008949,-1.861343,0.611078,-1.656125,1.380886,0.192704,1.897264
1.013336,-1.861312,0.610985,-1.655884,1.380933,0.193107,1.897465
1.017722,-1.861451,0.611004,-1.656953,1.380862,0.191806,1.897101
1.022109,-1.861266,0.610250,-1.656610,1.379980,0.191042,1.895963
1.026496,-1.861227,0.610295,-1.656214,1.380095,0.191521,1.896265
1.030883,-1.861277,0.610883,-1.655960,1.380776,0.192089,1.896833
1.035269,-1.861507,0.610581,-1.656574,1.379915,0.190746,1.895931
1.039656,-1.862303,0.610884,-1.656361,1.380457,0.191165,1.896467
1.044043,-1.860783,0.610576,-1.655433,1.380353,0.192326,1.896681
1.048430,-1.861487,0.610853,-1.655889,1.380472,0.191725,1.896548
1.052816,-1.861996,0.610989,-1.656163,1.380408,0.191298,1.896516
1.057203,-1.860985,0.610986,-1.654804,1.380288,0.192538,1.896797
1.061590,-1.861313,0.610390,-1.655264,1.380119,0.191026,1.895923
1.065977,-1.862252,0.611203,-1.656446,1.380451,0.191226,1.896443
1.070363,-1.862112,0.610810,-1.656570,1.380563,0.191407,1.896483
1.074750,-1.862671,0.610330,-1.656946,1.380065,0.190283,1.895814
1.079137,-1.862252,0.611550,-1.656831,1.381143,0.191985,1.896888
1.083523,-1.861451,0.611294,-1.655666,1.380833,0.192610,1.896954
1.087910,-1.862148,0.611204,-1.657096,1.380834,0.191171,1.896271
1.092297,-1.861944,0.611435,-1.656459,1.380687,0.191730,1.896434
1.096684,-1.861927,0.611074,-1.656394,1.380194,0.191172,1.896027
1.101070,-1.862402,0.611682,-1.656965,1.380667,0.191093,1.896233
1.105457,-1.861893,0.611478,-1.656009,1.380470,0.191905,1.896487
1.109844,-1.862296,0.611612,-1.656586,1.381005,0.191284,1.896208
1.114231,-1.861977,0.610896,-1.656092,1.380367,0.191076,1.895881
1.118617,-1.862433,0.611229,-1.656037,1.380372,0.191197,1.895897
1.123004,-1.862107,0.611147,-1.656284,1.380511,0.191160,1.895844
1.127391,-1.861434,0.610987,-1.655294,1.380459,0.191852,1.896145
1.131778,-1.860913,0.610792,-1.654943,1.380605,0.192271,1.896430
1.136164,-1.862492,0.611259,-1.655805,1.380896,0.191748,1.896294
1.140551,-1.861543,0.610785,-1.655507,1.380234,0.191556,1.895771
1.144938,-1.861105,0.610464,-1.654241,1.379742,0.191773,1.895498
1.149324,-1.861125,0.611009,-1.654835,1.380440,0.191953,1.896025
1.153711,-1.861566,0.611177,-1.654941,1.380410,0.191930,1.896063
1.158098,-1.862384,0.611675,-1.656578,1.381074,0.191203,1.896210
1.162485,-1.861874,0.611275,-1.656105,1.380816,0.191686,1.896214
1.166871,-1.861822,0.611381,-1.655930,1.380698,0.191760,1.896061
1.171258,-1.862060,0.611497,-1.655486,1.380639,0.191708,1.896086
1.175645,-1.862940,0.610993,-1.656345,1.380148,0.190060,1.895247
1.180032,-1.861817,0.611051,-1.655476,1.380715,0.192055,1.896333
1.184418,-1.861483,0.610740,-1.655720,1.380404,0.191688,1.895955
1.188805,-1.861986,0.610884,-1.655910,1.380322,0.190694,1.895423
1.193192,-1.861984,0.611274,-1.656009,1.380936,0.191430,1.896062
1.197579,-1.861942,0.611838,-1.655799,1.381179,0.192497,1.897089
1.201965,-1.861264,0.611389,-1.655214,1.380567,0.192367,1.896321
1.206352,-1.861570,0.611947,-1.655747,1.381190,0.193503,1.897484
1.210739,-1.860929,0.611428,-1.655331,1.380472,0.192467,1.896238
1.215126,-1.861027,0.612299,-1.655532,1.381555,0.193666,1.897412
1.219512,-1.860405,0.610746,-1.654485,1.379994,0.192511,1.895902
1.223899,-1.861342,0.611149,-1.655604,1.380466,0.192280,1.896299
1.228286,-1.859722,0.610789,-1.654014,1.380075,0.193008,1.896108
1.232672,-1.860470,0.611214,-1.655015,1.380842,0.193515,1.896914
1.237059,-1.860602,0.611018,-1.654810,1.380452,0.193616,1.896852
1.241446,-1.859401,0.611084,-1.654223,1.380591,0.194876,1.897338
1.245833,-1.859931,0.610965,-1.654528,1.380601,0.193583,1.896980
1.250219,-1.860633,0.611421,-1.654690,1.380859,0.193166,1.897170
1.254606,-1.860361,0.611005,-1.654596,1.380717,0.193225,1.897021
1.258993,-1.860933,0.611449,-1.655241,1.381420,0.192987,1.897338
1.263380,-1.860325,0.610671,-1.654396,1.380569,0.193325,1.897069
1.267766,-1.861426,0.610299,-1.655207,1.379945,0.191748,1.895885
1.272153,-1.862027,0.611792,-1.656934,1.381715,0.192335,1.897515
1.276540,-1.862075,0.611285,-1.656510,1.380792,0.191002,1.896324
1.280927,-1.863654,0.610708,-1.657229,1.380091,0.189206,1.895651
1.285313,-1.864534,0.611584,-1.658986,1.380588,0.188876,1.895607
1.289700,-1.864409,0.611883,-1.658030,1.381089,0.190399,1.896599
1.294087,-1.863875,0.612470,-1.658770,1.381726,0.190820,1.896904
1.298473,-1.863740,0.612675,-1.659137,1.382087,0.191176,1.897028
1.302860,-1.863197,0.612496,-1.658299,1.381725,0.191786,1.897165
1.307247,-1.862701,0.612174,-1.657416,1.381565,0.192379,1.897236
1.311634,-1.862491,0.611954,-1.656604,1.381132,0.192096,1.896915
1.316020,-1.861962,0.611398,-1.656352,1.381171,0.192803,1.897311
1.320407,-1.862295,0.612251,-1.656289,1.381717,0.193312,1.897801
1.324794,-1.862186,0.612542,-1.656324,1.382153,0.194084,1.898381
1.329181,-1.862229,0.611303,-1.656470,1.381395,0.192271,1.896908
1.333567,-1.862055,0.611714,-1.656722,1.381916,0.192911,1.897654
1.337954,-1.861803,0.612144,-1.655753,1.381853,0.193963,1.898007
1.342341,-1.861061,0.611906,-1.655178,1.381791,0.194621,1.898300
1.346728,-1.861756,0.611863,-1.655740,1.381341,0.193234,1.897349
1.351114,-1.861828,0.612444,-1.656936,1.382523,0.194616,1.898631
1.355501,-1.862038,0.612658,-1.656381,1.382237,0.194181,1.898171
1.359888,-1.861925,0.612722,-1.656010,1.382413,0.194439,1.898351
1.364274,-1.862291,0.612266,-1.656855,1.381668,0.192719,1.897327
1.368661,-1.862390,0.611841,-1.657050,1.381794,0.192444,1.897220
1.373048,-1.862422,0.612157,-1.657010,1.381962,0.193537,1.897947
1.377435,-1.860987,0.611461,-1.655395,1.381505,0.194187,1.897847
1.381821,-1.861756,0.613258,-1.656885,1.383024,0.195496,1.899149
1.386208,-1.861676,0.612514,-1.656653,1.382895,0.194759,1.898615
1.390595,-1.860222,0.612102,-1.654990,1.381974,0.195450,1.898449
1.394982,-1.860952,0.612345,-1.656071,1.382387,0.195070,1.898428
1.399368,-1.861776,0.612490,-1.656367,1.382261,0.194767,1.898308
1.403755,-1.859979,0.611414,-1.654396,1.381581,0.195059,1.898103
1.408142,-1.860575,0.612672,-1.655258,1.382170,0.195725,1.898886
1.412529,-1.860101,0.611295,-1.654407,1.380786,0.194245,1.897544
1.416915,-1.860415,0.612610,-1.655252,1.382279,0.195292,1.898561
1.421302,-1.860339,0.611480,-1.654818,1.381486,0.194415,1.897766
1.425689,-1.859575,0.611566,-1.654337,1.381604,0.195303,1.897970
1.430076,-1.860651,0.612062,-1.655835,1.382193,0.194487,1.898088
1.434462,-1.860859,0.611789,-1.655427,1.381662,0.194666,1.898028
1.438849,-1.860858,0.610577,-1.654911,1.380689,0.192908,1.896655
1.443236,-1.860887,0.611283,-1.654887,1.380953,0.193822,1.897263
1.447622,-1.860915,0.611031,-1.654555,1.380421,0.193321,1.896882
1.452009,-1.860789,0.611033,-1.654580,1.380511,0.193564,1.896964
1.456396,-1.860993,0.611852,-1.654959,1.381583,0.194493,1.898184
1.460783,-1.860712,0.611842,-1.654735,1.381547,0.194718,1.898089
1.465169,-1.860592,0.611310,-1.654818,1.381052,0.194038,1.897554
1.469556,-1.860330,0.610643,-1.654027,1.380574,0.193829,1.896849
1.473943,-1.859661,0.611363,-1.653162,1.380944,0.195345,1.898254
1.478330,-1.859754,0.611174,-1.653543,1.381056,0.194904,1.897939
1.482716,-1.859686,0.611191,-1.653902,1.381078,0.194714,1.897831
1.487103,-1.859832,0.611403,-1.654337,1.381283,0.195213,1.898069
1.491490,-1.859598,0.611192,-1.653966,1.381217,0.195532,1.898107
1.495877,-1.859955,0.610782,-1.654305,1.380928,0.194885,1.897534
1.500263,-1.859726,0.611626,-1.654672,1.381787,0.195866,1.898696
1.504650,-1.859469,0.610960,-1.654544,1.381861,0.195518,1.898236
1.509037,-1.859809,0.610958,-1.654671,1.381261,0.194581,1.897855
1.513423,-1.859688,0.611291,-1.654523,1.381230,0.195038,1.898000
1.517810,-1.859662,0.610997,-1.654070,1.381361,0.195180,1.898031
1.522197,-1.860088,0.611127,-1.654747,1.381200,0.194529,1.897741
1.526584,-1.860304,0.611558,-1.654957,1.381466,0.194277,1.898056
1.530970,-1.860606,0.611265,-1.655093,1.381002,0.193866,1.897470
1.535357,-1.860482,0.612151,-1.655405,1.382194,0.194610,1.898650
1.539744,-1.861623,0.612398,-1.656978,1.382678,0.193458,1.898262
1.544131,-1.861604,0.611917,-1.656514,1.382234,0.194183,1.898293
1.548517,-1.862141,0.612359,-1.656958,1.382359,0.193441,1.897998
1.552904,-1.860307,0.611592,-1.654748,1.381566,0.194861,1.898170
1.557291,-1.861212,0.612608,-1.655609,1.382188,0.194460,1.898328
1.561678,-1.861816,0.611845,-1.656206,1.381609,0.193616,1.898081
