t,xA,yA,xB,yB,xC,yC
1.278449,-2.539982,0.967384,-2.417406,1.628301,-0.901594,1.762888
1.282798,-2.560153,0.933792,-2.426358,1.597679,-0.902260,1.762812
1.287146,-2.576420,0.904296,-2.440309,1.557040,-0.903005,1.762642
1.291495,-2.585891,0.874803,-2.443028,1.550067,-0.905401,1.763287
1.295843,-2.596060,0.847929,-2.451035,1.500737,-0.907032,1.763658
1.300192,-2.618152,0.772847,-2.458479,1.441188,-0.911612,1.764766
1.304540,-2.622707,0.761921,-2.459007,1.435442,-0.914814,1.764486
1.308888,-2.623984,0.760930,-2.459491,1.439061,-0.916561,1.764305
1.313237,-2.624866,0.762913,-2.458500,1.442085,-0.917822,1.764300
1.317585,-2.622113,0.770984,-2.459641,1.447679,-0.918075,1.764189
1.321934,-2.618995,0.777881,-2.458838,1.449908,-0.918157,1.764272
1.326282,-2.619038,0.782295,-2.459177,1.461582,-0.918082,1.764400
1.330631,-2.619448,0.784167,-2.458839,1.468463,-0.918070,1.764281
1.334979,-2.618864,0.784761,-2.459750,1.472465,-0.918122,1.764574
1.339328,-2.618662,0.784495,-2.458471,1.473167,-0.917914,1.764632
1.343676,-2.618226,0.781839,-2.458806,1.474548,-0.918151,1.764609
1.348025,-2.620026,0.775612,-2.459375,1.475912,-0.919298,1.764230
1.352373,-2.619345,0.772336,-2.467147,1.443891,-0.920432,1.763962
1.356722,-2.623286,0.768094,-2.467332,1.438476,-0.921111,1.763727
1.361070,-2.624507,0.765518,-2.467325,1.443525,-0.921985,1.763502
1.365419,-2.624902,0.764621,-2.467832,1.447823,-0.922648,1.763140
1.369767,-2.625368,0.765466,-2.467284,1.451106,-0.922889,1.762979
1.374115,-2.625639,0.769044,-2.467793,1.455177,-0.923087,1.762901
1.378464,-2.624047,0.773179,-2.474599,1.430966,-0.923031,1.762907
1.382812,-2.621807,0.779058,-2.474349,1.435960,-0.922825,1.762587
1.387161,-2.623079,0.786499,-2.475703,1.447929,-0.922817,1.762418
1.391509,-2.620011,0.793989,-2.474711,1.451398,-0.922390,1.762447
1.395858,-2.618157,0.800225,-2.475606,1.464901,-0.922049,1.762407
1.400206,-2.651654,0.807008,-2.475534,1.472330,-0.921814,1.762350
1.404555,-2.614463,0.810713,-2.475629,1.478910,-0.921474,1.762261
1.408903,-2.614649,0.815754,-2.474966,1.480052,-0.921111,1.762218
1.413252,-2.653728,0.822500,-2.474872,1.482341,-0.920949,1.762155
1.417600,-2.632612,0.823445,-2.475427,1.488945,-0.920979,1.761930
1.421949,-2.618872,0.823889,-2.474933,1.491053,-0.920952,1.761838
1.426297,-2.616870,0.824426,-2.474991,1.492466,-0.920899,1.761760
1.430646,-2.616393,0.824859,-2.475229,1.493537,-0.920771,1.761874
1.434994,-2.616755,0.824219,-2.475119,1.494144,-0.921062,1.761899
1.439342,-2.619271,0.823715,-2.475493,1.495702,-0.921245,1.761761
1.443691,-2.628891,0.823660,-2.474850,1.492791,-0.921125,1.761655
1.448039,-2.649912,0.823283,-2.474670,1.491660,-0.921479,1.762032
1.452388,-2.373499,0.792213,-2.474622,1.491923,-0.921820,1.762178
